Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
2727,2,33449BDFC7471F8D33DAF637D56A16FEE49A9840,Email,.msg,29696,2239,2,English
2779,1,742809E23C581897EAF74F8B0CCB3A15D58CF9EA,Email,.msg,55296,2440,2,English
2781,2,75130432CB3D73B4D58DE082FDD7F28A25332BBB,Email,.msg,163840,23810,10,English
2809,4,389D22A1BB346C6DFA3CBD435DC624FEF779AE56,Email,.msg,67584,2372,2,English
2810,2,0FAAC1C585CB3D7DA24667940CC1FCACACE006EE,Email,.msg,79872,5647,3,English
2813,1,10107DC7EB2673BC4BDB3F9D80D6A651AA5E8D72,Email,.msg,52736,4017,2,English
2829,4,10E15A55DF36581481D39E604A9BC7DDDDECD2E9,Email,.msg,66048,2630,2,English
2843,3,36CDCE8771DA46E2386BA09B13C663B07A246630,Email,.msg,95232,8746,5,English
2848,4,36FCFC6EBB6C3235D72F5491AE43F7C9A1DBEE33,Email,.msg,97792,4159,3,English
2891,2,B9107BA3903E9C21FCC05AB5E96CFA8F526840A8,Email,.msg,63488,1654,3,English
2896,3,B983F94224C906D0AA99EA26911A1C68AE45B687,Email,.msg,166912,6316,3,English
2901,4,B9ABDF83BEF08023F0F8939AB043454550881A01,Email,.msg,45568,5637,4,English
2902,7,4D3400587D17014735F2C9648B526940D79F7663,Email,.msg,64512,4040,3,English
2923,7,185FA3930739A16B0D922D442C276B5FED3AA3BD,Email,.msg,59392,4768,4,English
2925,3,BD332F3BACA9084B321D2C33ABBEC470B217ADED,Email,.msg,131584,5647,4,English
2935,1,BE045950C006696F9ACBC038E96B326C5956D1B8,Email,.msg,112128,7066,5,English
2940,2,BE8F58F66E732E8A59AC9B4E73F9AE13C104D88A,Email,.msg,79872,5261,3,English
2964,1,434257692A82A2186BA78B4DAED2577938BD7A8F,Email,.msg,35328,1573,2,English
2972,3,CC86A6C9173B16D87D82569103AC195FDC3AB2C2,Email,.msg,124928,5171,3,English
2973,2,43B526CD17D6238509E15F5A304CEE2995A41472,Email,.msg,55296,2778,3,English
2979,5,FCA1956633E5F77DEBA4726E3CEB09CDAC5733F6,Email,.msg,97280,3813,3,English
2982,1,0AC0087885AD685D9F89C3BC0F23AC40422238A8,Email,.msg,68096,5640,4,English
2985,4,444D28942D756E224EA505E2A34C9F00F083F089,Email,.msg,56320,4226,3,English
3004,5,8360278E685931D9CD18E56DF84EDD4639491C26,Email,.msg,121856,20310,8,English
3009,3,AE1108E3C0CED6B8B6F7F243784AE02EBD465EE3,Email,.msg,86528,6439,4,English
3019,2,C086EB17A17643DC86BCC336956B3A9DA4A53B80,Email,.msg,77824,3614,3,English
3022,6,19D1DB8D14BDE1D235E2542CB965086B006B86C9,Email,.msg,118272,7985,4,English
3028,2,11437124F716B61DC64C2A7079364A79BC969937,Email,.msg,57344,3806,3,English
3029,3,589930DE56417AFCEDC30D5308ADBC1CC54DDEBF,Email,.msg,49152,4209,3,English
3031,2,E9E8D0D204BEA197020F0CB31A7EA2C58ED0D8AD,Email,.msg,113152,4972,4,English
3039,4,91B4666B8F9E79C93C6E7097E9A314EE065105C0,Email,.msg,154624,13709,8,English
3079,4,48CC5D685D724CB254B11B4EA13B7B501AD793F8,Email,.msg,128000,4897,2,English
3080,9,9A0A8ED9298FF4579619AEBEB642733D415D76D9,Email,.msg,61440,5043,4,English
3086,2,F793E967E656C8174751942F25750C09BA3447F0,Email,.msg,877056,4489,3,English
3094,3,91DFAD3AEBCC8CA71A96C5CE2D6D986514587142,Email,.msg,58368,5806,4,English
